Timestamp,Price,Book Size,Gap,Volatility,Queue Size,Cash/testagent1,Cash/testagent2,Cash/testagent3,Cash/testagent4,Cash/testagent5,Shares/testagent1,Shares/testagent2,Shares/testagent3,Shares/testagent4,Shares/testagent5,Net Worth/testagent1,Net Worth/testagent2,Net Worth/testagent3,Net Worth/testagent4,Net Worth/testagent5,testagent1 Orders/Sent,testagent2 Orders/Sent,testagent3 Orders/Sent,testagent4 Orders/Sent,testagent5 Orders/Sent,testagent1 Orders/Matched,testagent2 Orders/Matched,testagent3 Orders/Matched,testagent4 Orders/Matched,testagent5 Orders/Matched,testagent1 Orders/Canceled,testagent2 Orders/Canceled,testagent3 Orders/Canceled,testagent4 Orders/Canceled,testagent5 Orders/Canceled
5996.565682901314,100.95,43,-1,0.5871979201885834,6.51714502179766,10026475.419999998,9978004.93,10020279.12,9976504.120000001,9998736.410000002,9738,10219,9797,10234,10012,11009526.519999998,11009612.98,11009286.27,11009626.420000002,11009447.810000002,640,682,483,651,765,474,471,203,234,348,166,190,258,417,417
6041.565682901314,100.95,48,1.029999999999987,0.5850804839821042,23.956424291036456,10026475.419999998,9978004.93,10020279.12,9976504.120000001,9998736.410000002,9738,10219,9797,10234,10012,11009526.519999998,11009612.98,11009286.27,11009626.420000002,11009447.810000002,640,682,483,656,765,474,471,203,234,348,166,190,258,417,417
6167.569916049256,100.95,113,0.789999999999992,0.5829404356572927,0.797500408058113,10026475.419999998,9978004.93,10020279.12,9976504.120000001,9998736.410000002,9738,10219,9797,10234,10012,11009526.519999998,11009612.98,11009286.27,11009626.420000002,11009447.810000002,640,747,483,656,765,474,471,203,234,348,166,190,258,417,417
6182.569916049256,99.97,96,0.789999999999992,0.5824275496453942,0.9775924455207132,10026475.419999998,9979704.42,10020279.12,9976504.120000001,9997036.920000002,9738,10202,9797,10234,10029,10999983.279999997,10999598.36,10999685.209999999,10999597.100000001,10999636.050000003,640,747,483,656,782,474,488,203,234,365,166,190,258,417,417
6183.569916049256,99.97,124,0.6699999999999875,0.5818073452460439,1.7348926271988603,10026475.419999998,9979704.42,10020279.12,9976504.120000001,9997036.920000002,9738,10202,9797,10234,10029,10999983.279999997,10999598.36,10999685.209999999,10999597.100000001,10999636.050000003,640,747,511,656,782,474,488,203,234,365,166,190,258,417,417
6353.497455345444,99.97,152,0.6699999999999875,0.5810898416255483,0.0,10026475.419999998,9979704.42,10020279.12,9976504.120000001,9997036.920000002,9738,10202,9797,10234,10029,10999983.279999997,10999598.36,10999685.209999999,10999597.100000001,10999636.050000003,640,747,511,684,782,474,488,203,234,365,166,190,258,417,417
6371.970887649253,99.97,84,0.19999999999998863,0.5802841116696049,4.046071783426669,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,10999986.639999997,10999598.360000001,10999681.85,10999597.100000001,10999636.050000003,724,747,511,684,782,550,536,231,234,365,166,190,258,417,417
6566.1461276113505,99.97,113,0.9299999999999926,0.5793983836914134,16.45384113543787,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,10999986.639999997,10999598.360000001,10999681.85,10999597.100000001,10999636.050000003,724,747,511,739,782,550,536,231,234,365,166,211,258,422,417
6595.1461276113505,99.97,202,0.9299999999999926,0.5784401305814524,28.25821095781339,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,10999986.639999997,10999598.360000001,10999681.85,10999597.100000001,10999636.050000003,813,747,511,739,782,550,536,231,234,365,166,211,258,422,417
6606.1461276113505,99.97,297,0.5300000000000011,0.5774161481663516,32.647709871350344,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,10999986.639999997,10999598.360000001,10999681.85,10999597.100000001,10999636.050000003,813,842,511,739,782,550,536,231,234,365,166,211,258,422,417
6614.1461276113505,100.94,293,0.5300000000000011,0.5760253788299091,34.562862900195796,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,11009506.219999997,11009447.74,11009157.78,11009524.080000002,11009364.180000002,813,842,515,739,782,550,536,239,234,365,166,211,258,422,417
6640.1461276113505,100.94,281,0.8500000000000085,0.574596325693091,37.44942743895899,10018881.059999997,9984502.98,10023074.92,9976504.120000001,9997036.920000002,9814,10154,9769,10234,10029,11009506.219999997,11009447.74,11009157.78,11009524.080000002,11009364.180000002,819,842,515,739,782,550,536,239,234,365,166,211,276,422,417
6779.864932790822,101.26,262,0.8500000000000085,0.5777819125327406,0.0,10018881.059999997,9984502.98,10023074.92,9978428.06,9995112.980000002,9814,10154,9769,10215,10048,11012646.699999997,11012697.02,11012283.86,11012798.96,11012573.460000003,819,842,515,739,801,550,536,239,253,384,166,211,276,422,417
6793.703156480204,101.4,165,0.9900000000000091,0.5833639788117014,0.0,10027804.259999996,9974668.440000001,10023074.92,9979339.4,9995112.980000002,9726,10251,9769,10206,10048,11014020.659999996,11014119.840000002,11013651.52,11014227.8,11013980.180000002,819,939,515,739,801,638,633,239,262,384,166,211,276,422,417
6925.96843441287,101.4,217,-1,0.5885006787497274,0.0,10027905.659999996,9974668.440000001,10022973.52,9979339.4,9995112.980000002,9725,10251,9770,10206,10048,11014020.659999996,11014119.840000002,11013651.52,11014227.8,11013980.180000002,819,939,569,739,801,639,633,240,262,384,166,211,276,422,417
6977.958686392847,102.44,185,0.8800000000000097,0.6243685314134525,10.598355969841577,10027905.659999996,9974668.440000001,10022973.52,9979339.4,9995112.980000002,9725,10251,9770,10206,10048,11024134.659999996,11024780.88,11023812.32,11024842.040000001,11024430.100000001,819,939,651,739,801,639,633,346,262,384,174,211,276,422,417
7000.958686392847,102.44,234,0.5500000000000114,0.6564884067267596,25.449523366736685,10027905.659999996,9974668.440000001,10022973.52,9979339.4,9995112.980000002,9725,10251,9770,10206,10048,11024134.659999996,11024780.88,11023812.32,11024842.040000001,11024430.100000001,868,939,651,739,801,639,633,346,262,384,174,211,276,422,417
7080.958686392847,101.29,217,0.5500000000000114,0.6573308348388814,78.52093108038207,10027905.659999996,9974668.440000001,10022973.52,9979339.4,9995112.980000002,9725,10251,9770,10206,10048,11012950.909999996,11012992.23,11012576.82,11013105.14,11012874.900000002,868,939,668,739,801,639,633,380,262,384,174,211,276,422,417
7085.958686392847,101.29,222,-1,0.6580249443839512,82.55939642040721,10027905.659999996,9973452.96,10024189.0,9979339.4,9995112.980000002,9725,10263,9758,10206,10048,11012950.909999996,11012992.23,11012576.82,11013105.14,11012874.900000002,868,968,668,739,801,639,645,392,262,384,174,211,276,422,417
7104.958686392847,101.29,287,-1,0.6585813825944374,92.77984187351194,10027905.659999996,9973452.96,10024189.0,9979339.4,9995112.980000002,9725,10263,9758,10206,10048,11012950.909999996,11012992.23,11012576.82,11013105.14,11012874.900000002,868,968,668,739,866,639,645,392,262,384,174,211,276,422,417
